ndvi,umidade_solo,precipitacao_72h,temperatura_max,inclinacao_terreno,focos_queimadas,dist_rio_km,historico_eventos,bioma,risco
0.9129,34.75,57.36,37.51,20.76,34,10.714,4,Amazônia,1
0.9313,72.89,144.88,27.24,12.86,18,0.908,2,Amazônia,1
0.9124,82.28,155.87,30.98,6.25,16,0.952,3,Amazônia,1
0.5021,41.35,70.19,25.03,14.81,11,3.245,0,Mata Atlântica,1
0.8731,33.65,28.1,35.56,23.08,17,3.731,5,Amazônia,1
0.5174,53.89,89.09,36.57,21.03,26,2.086,4,Cerrado,1
0.2229,24.99,24.93,40.28,4.96,15,1.877,1,Semiárido,0
0.6716,93.9,164.06,37.69,7.92,38,2.823,5,Amazônia,1
0.293,16.83,21.86,44.58,12.92,19,5.864,3,Semiárido,0
0.3179,59.66,131.47,35.84,14.29,67,0.441,3,Cerrado,2
0.716,95.0,197.78,36.6,4.85,19,6.199,4,Amazônia,1
0.6602,32.94,48.08,41.37,11.62,3,13.035,3,Mata Atlântica,0
0.3652,32.58,47.22,26.65,10.59,18,7.209,4,Mata Atlântica,0
0.7604,66.03,134.42,20.89,16.96,8,1.064,3,Sul,1
0.2445,7.14,4.56,47.35,20.98,19,0.458,4,Semiárido,1
0.2033,18.3,3.36,43.95,23.32,16,3.37,2,Semiárido,1
0.384,84.81,147.25,25.39,7.71,34,15.664,4,Cerrado,1
0.7433,48.25,70.35,28.68,21.49,30,8.548,4,Amazônia,1
0.2214,33.68,38.15,47.82,16.65,2,4.136,3,Semiárido,0
0.309,28.8,31.34,33.06,23.94,19,0.771,4,Semiárido,1
0.7761,46.19,77.3,33.38,36.7,3,6.256,2,Sul,1
0.5014,10.26,3.65,41.44,6.74,77,8.383,4,Cerrado,0
0.6207,39.48,43.56,38.2,17.61,77,13.672,0,Cerrado,1
0.2249,24.8,39.14,45.31,23.21,18,4.735,4,Semiárido,1
0.4962,15.62,5.86,40.59,20.61,49,3.613,4,Cerrado,1
0.6846,66.82,139.14,29.82,13.41,15,4.827,4,Sul,1
0.5285,18.33,29.93,19.5,6.19,14,14.346,3,Sul,0
0.4962,38.43,66.69,30.76,17.94,13,4.946,3,Cerrado,0
0.1683,19.7,35.49,44.08,20.03,13,1.489,5,Semiárido,2
0.3101,16.58,0.44,44.12,18.83,3,5.055,1,Semiárido,0
0.6448,64.93,144.57,29.57,16.92,36,10.591,2,Amazônia,1
0.3812,48.23,82.35,28.5,38.26,6,4.185,6,Sul,1
0.3033,79.74,151.1,37.26,37.99,6,3.493,10,Mata Atlântica,2
0.1243,10.93,33.91,37.89,11.96,5,6.609,3,Semiárido,1
0.3177,37.15,67.49,38.3,24.04,38,5.409,4,Cerrado,1
0.2995,95.0,186.92,17.4,23.78,8,0.292,4,Sul,2
0.3521,80.24,146.99,34.42,15.21,42,6.461,2,Cerrado,1
0.6791,43.33,76.93,26.95,24.85,34,2.617,3,Amazônia,1
0.5966,69.93,119.93,16.81,20.49,15,14.142,3,Sul,1
0.7064,46.4,82.0,24.2,6.91,43,17.668,1,Amazônia,1
0.6523,26.38,35.79,38.86,16.4,3,2.978,3,Cerrado,1
0.7104,18.16,13.53,22.77,27.85,16,17.336,5,Sul,0
0.3543,74.63,125.86,34.01,17.85,5,1.861,2,Sul,1
0.3876,41.06,80.21,26.7,34.38,10,5.739,1,Mata Atlântica,1
0.8097,51.49,99.84,28.66,14.74,6,0.39,4,Mata Atlântica,1
0.3979,19.8,33.33,34.53,2.57,35,0.783,3,Cerrado,1
0.5722,65.08,127.03,24.63,7.77,45,9.995,3,Cerrado,1
0.3485,90.37,151.71,30.75,1.9,60,11.211,0,Cerrado,1
0.4719,79.39,142.58,26.09,18.88,12,3.803,2,Mata Atlântica,2
0.1462,10.16,20.26,34.52,4.33,12,2.076,0,Semiárido,0
0.1077,21.03,34.84,42.05,21.43,14,2.999,1,Semiárido,1
0.1428,16.86,8.54,41.48,14.43,14,10.187,2,Semiárido,0
0.8859,31.46,63.17,34.63,1.48,27,1.185,3,Amazônia,1
0.4128,44.05,87.67,40.26,36.96,17,1.747,7,Mata Atlântica,1
0.7298,95.0,207.01,39.36,15.41,17,7.696,1,Amazônia,1
0.7463,44.08,85.76,39.9,34.74,13,13.688,3,Mata Atlântica,1
0.6413,55.09,82.39,23.26,12.83,57,0.488,5,Cerrado,1
0.7451,28.81,19.29,16.7,25.42,13,8.142,1,Sul,0
0.609,9.18,11.11,37.6,8.75,70,5.179,3,Cerrado,0
0.7376,37.92,77.09,40.05,8.4,45,1.312,3,Amazônia,1
0.8067,72.8,143.01,28.23,20.49,51,7.049,1,Amazônia,1
0.0766,16.15,32.7,46.02,7.97,13,6.508,0,Semiárido,0
0.6172,45.05,74.97,30.05,41.64,7,0.766,3,Mata Atlântica,2
0.7906,83.33,164.94,34.68,4.52,21,3.488,1,Amazônia,1
0.8483,62.46,109.06,30.48,23.72,23,7.1,2,Amazônia,1
0.2719,34.23,28.71,45.15,23.33,13,1.063,5,Semiárido,1
0.8732,95.0,179.52,32.93,5.62,29,3.107,3,Amazônia,1
0.3025,14.94,2.26,33.46,13.84,6,0.643,2,Semiárido,1
0.0591,5.0,6.8,37.27,3.43,18,1.832,6,Semiárido,0
0.6148,24.72,24.58,34.67,16.87,19,1.229,2,Amazônia,1
0.6929,95.0,192.46,35.8,4.63,5,3.517,2,Amazônia,1
0.6937,22.57,80.64,20.43,22.96,17,0.761,4,Sul,1
0.6605,36.05,45.17,41.39,20.62,58,2.416,2,Cerrado,1
0.3656,57.49,107.28,35.2,8.14,37,1.609,6,Cerrado,1
0.0718,8.03,10.61,38.17,2.71,3,6.853,5,Semiárido,0
0.6655,47.44,68.27,18.35,23.28,6,6.014,4,Sul,1
0.4563,63.37,87.33,32.15,15.77,7,0.499,2,Sul,1
0.2361,20.13,8.64,40.78,17.09,15,15.34,4,Semiárido,0
0.6728,44.04,81.41,32.55,22.78,27,6.826,1,Cerrado,1
0.9265,44.17,91.78,33.07,12.23,41,4.785,4,Amazônia,1
0.1369,19.24,17.78,32.38,3.2,5,3.248,3,Semiárido,0
0.8191,87.44,155.0,28.97,17.93,0,0.98,4,Mata Atlântica,2
0.5412,54.21,104.08,40.92,7.96,59,16.353,6,Cerrado,1
0.7869,44.03,79.98,17.96,17.74,11,0.1,6,Sul,1
0.9223,59.32,58.83,25.11,13.39,21,5.896,4,Amazônia,0
0.4985,63.93,99.65,41.85,23.09,0,3.541,2,Mata Atlântica,1
0.8551,95.0,193.28,28.05,11.09,19,11.644,1,Amazônia,1
0.4407,37.86,87.0,35.61,23.87,18,2.396,3,Mata Atlântica,1
0.6959,75.21,155.91,26.63,9.21,20,3.656,1,Amazônia,1
0.8825,69.5,129.59,33.0,16.88,27,6.781,2,Amazônia,0
0.6683,26.5,53.91,29.73,8.77,48,0.244,2,Amazônia,1
0.5414,32.14,20.54,41.23,45.53,12,0.28,1,Mata Atlântica,1
0.0704,36.26,32.95,42.38,24.77,19,1.189,2,Semiárido,2
0.7924,10.35,10.15,33.68,32.63,2,0.792,2,Mata Atlântica,1
0.3051,75.37,112.43,25.93,23.3,14,0.1,2,Sul,2
0.3124,18.59,18.96,41.78,14.48,58,4.877,5,Cerrado,0
0.41,49.52,41.36,24.03,15.5,16,7.947,2,Cerrado,0
0.4343,50.35,86.23,23.26,15.32,4,15.746,4,Sul,1
0.9315,91.05,168.16,29.64,2.01,45,2.907,2,Amazônia,2
0.5406,38.54,38.15,17.35,12.74,9,1.641,1,Sul,1
0.7332,34.29,30.95,29.5,9.11,29,9.972,1,Amazônia,0
0.7545,74.01,131.83,29.68,10.45,13,9.302,2,Sul,1
0.8752,73.75,142.74,25.18,7.44,27,4.902,5,Amazônia,1
0.2859,82.03,149.43,24.69,26.08,6,1.595,3,Sul,2
0.664,35.34,70.12,32.93,38.85,16,11.958,3,Mata Atlântica,1
0.483,32.91,47.73,31.06,18.4,16,0.983,4,Sul,1
0.8936,77.12,167.19,32.83,3.59,18,0.223,3,Amazônia,1
0.2325,39.85,97.02,41.46,35.13,6,7.963,0,Mata Atlântica,1
0.5167,52.84,93.36,27.23,22.44,0,4.147,2,Sul,1
0.431,45.11,55.02,31.62,30.58,1,1.415,3,Mata Atlântica,1
0.3635,78.88,135.24,40.32,21.09,9,5.557,1,Mata Atlântica,1
0.6515,15.73,14.06,33.51,32.42,18,7.278,2,Mata Atlântica,1
0.7002,86.37,137.27,24.7,39.52,7,9.307,3,Mata Atlântica,2
0.3591,40.62,77.39,32.95,13.25,8,1.657,4,Mata Atlântica,1
0.2321,55.54,133.94,25.62,30.63,14,0.13,4,Mata Atlântica,2
0.7517,38.49,101.08,24.33,25.89,10,3.567,3,Sul,1
0.6181,87.24,190.71,41.34,4.75,15,9.692,1,Amazônia,1
0.4813,71.2,120.26,29.22,7.34,59,1.165,3,Cerrado,1
0.608,70.66,144.63,27.89,17.57,1,2.733,0,Sul,1
0.4092,21.08,16.25,21.15,38.67,14,1.481,3,Sul,1
0.3602,93.92,155.66,27.71,14.31,9,0.1,2,Mata Atlântica,2
0.2059,7.34,13.52,37.88,31.67,6,11.44,4,Mata Atlântica,1
0.4096,18.81,10.96,34.35,3.87,49,0.725,4,Cerrado,1
0.7388,60.44,101.49,23.28,9.07,21,7.279,3,Amazônia,0
0.5979,55.68,115.64,38.78,11.23,13,2.128,1,Mata Atlântica,1
0.4093,90.72,153.74,25.74,18.82,51,1.626,5,Cerrado,2
0.5436,37.15,64.79,41.58,33.94,6,14.154,2,Mata Atlântica,1
0.7084,18.43,25.29,29.53,10.29,19,5.353,2,Amazônia,0
0.3937,91.2,141.49,32.3,18.81,2,5.807,2,Sul,1
0.2228,89.68,166.09,31.15,30.57,1,7.128,2,Sul,2
0.2242,48.89,69.27,28.89,49.13,2,2.085,1,Mata Atlântica,1
0.2171,56.36,78.16,38.05,45.54,1,4.147,3,Mata Atlântica,1
0.3383,9.49,10.32,31.54,20.94,63,1.575,1,Cerrado,1
0.1976,26.7,14.75,37.67,23.63,12,8.995,7,Semiárido,1
0.7176,36.99,68.21,33.5,16.26,1,4.573,5,Mata Atlântica,0
0.8915,91.49,188.87,40.57,17.16,21,1.395,1,Amazônia,2
0.4944,41.91,74.99,19.83,33.11,18,11.501,1,Sul,1
0.1468,22.58,38.63,36.49,7.63,8,4.348,4,Semiárido,0
0.6635,71.09,119.92,26.48,10.97,4,3.416,2,Sul,1
0.1892,15.43,7.25,43.39,2.44,6,0.175,2,Semiárido,1
0.279,19.08,28.63,26.43,35.9,12,12.029,3,Mata Atlântica,1
0.4793,63.19,105.15,39.23,1.54,27,15.211,1,Cerrado,0
0.4125,83.46,166.46,20.52,27.55,8,4.135,9,Sul,2
0.4876,76.33,151.69,32.95,24.75,1,2.922,4,Sul,2
0.8175,61.77,113.03,23.6,22.9,5,2.228,2,Amazônia,1
0.7169,30.66,37.3,37.32,13.55,35,1.56,4,Amazônia,1
0.4893,35.85,50.01,28.22,6.52,32,4.273,4,Cerrado,0
0.2803,16.91,21.6,39.18,1.49,11,0.685,7,Semiárido,0
0.6809,49.81,72.67,23.35,14.38,3,12.577,1,Sul,1
0.8743,72.69,141.82,27.49,11.97,9,0.968,2,Amazônia,1
0.5472,25.87,46.43,41.06,18.09,4,6.843,7,Mata Atlântica,1
0.6367,54.26,123.22,37.3,0.37,46,1.833,3,Cerrado,1
0.7678,84.18,145.89,31.14,39.55,13,1.281,3,Sul,2
0.1875,22.38,27.01,38.6,8.14,9,4.081,6,Semiárido,0
0.2086,21.67,21.96,34.7,0.76,9,7.244,0,Semiárido,0
0.6968,27.45,19.98,34.23,45.95,4,6.487,7,Mata Atlântica,1
0.6305,77.23,156.3,35.75,12.82,2,1.331,4,Cerrado,2
0.3911,70.68,157.68,22.77,8.33,75,2.006,3,Cerrado,1
0.835,67.6,125.49,27.83,20.14,52,10.156,2,Amazônia,1
0.22,78.4,145.07,19.49,11.23,10,6.423,1,Sul,1
0.2136,13.44,12.2,37.44,0.09,14,6.236,5,Semiárido,0
0.6932,80.39,128.91,23.67,34.41,18,1.566,4,Sul,2
0.8195,55.15,143.1,22.66,15.72,11,7.851,7,Sul,1
0.2352,33.94,32.95,41.95,42.11,15,2.219,1,Mata Atlântica,1
0.099,17.1,1.69,33.91,20.41,11,2.566,3,Semiárido,1
0.4781,95.0,190.56,31.74,24.2,18,1.695,4,Sul,2
0.0937,5.0,21.49,42.34,11.85,2,0.647,3,Semiárido,1
0.9431,88.81,150.79,40.14,1.0,12,2.727,5,Amazônia,1
0.5657,5.0,2.85,32.91,12.26,14,0.1,1,Mata Atlântica,1
0.7815,69.24,139.27,35.62,18.27,16,3.043,3,Amazônia,1
0.268,60.43,113.95,27.5,12.37,10,6.455,2,Sul,0
0.5981,17.82,10.03,34.63,25.66,11,16.188,2,Mata Atlântica,0
0.6397,28.62,29.71,39.58,12.68,1,0.409,4,Amazônia,1
0.6987,18.79,3.62,25.57,38.1,4,1.651,8,Mata Atlântica,1
0.7885,59.43,94.39,36.75,37.13,4,3.407,2,Mata Atlântica,2
0.3403,68.49,124.22,22.51,18.98,9,0.934,5,Cerrado,2
0.748,80.93,148.73,40.52,17.4,29,0.621,3,Amazônia,1
0.7625,5.0,5.49,41.66,35.58,2,3.01,3,Mata Atlântica,1
0.3927,69.91,145.03,29.08,41.06,16,4.346,3,Mata Atlântica,1
0.0907,26.59,20.73,40.61,14.24,1,8.58,2,Semiárido,0
0.483,57.53,89.82,35.17,27.16,14,30.0,3,Mata Atlântica,1
0.4612,90.26,163.83,26.01,11.78,18,7.442,4,Sul,1
0.5742,9.15,7.18,31.65,27.18,9,1.251,6,Mata Atlântica,1
0.5792,58.15,89.91,27.44,38.07,10,6.891,0,Mata Atlântica,1
0.6875,16.59,34.94,33.36,22.52,8,3.852,5,Sul,1
0.4591,74.82,123.65,22.37,17.96,18,2.997,1,Cerrado,1
0.8113,95.0,203.74,23.03,12.29,35,13.723,6,Amazônia,1
0.6269,95.0,199.35,22.32,11.08,15,6.055,4,Amazônia,1
0.1325,12.75,32.83,47.96,13.16,0,5.724,0,Semiárido,1
0.8313,33.78,21.27,33.2,47.78,0,0.1,4,Mata Atlântica,1
0.1523,21.59,31.86,40.71,22.61,13,10.015,6,Semiárido,1
0.6322,36.0,63.88,34.93,19.86,55,7.882,2,Amazônia,1
0.8097,93.2,179.61,39.68,20.03,16,1.776,1,Amazônia,2
0.8183,32.94,62.74,27.55,10.83,18,1.727,0,Amazônia,1
0.6863,53.81,97.67,38.64,1.78,17,0.275,9,Cerrado,1
0.6583,45.91,91.99,35.25,24.42,8,0.261,9,Mata Atlântica,1
0.4925,53.89,108.9,22.68,9.36,52,5.522,2,Cerrado,1
0.4333,38.6,54.34,29.5,21.76,10,1.03,2,Cerrado,1
0.8035,63.45,133.45,19.03,22.35,10,12.855,2,Sul,1
0.5283,26.71,50.28,36.63,3.63,7,9.239,4,Cerrado,0
0.6095,50.81,113.94,27.74,15.04,9,2.145,4,Mata Atlântica,1
0.0696,21.65,34.5,34.97,17.31,17,2.391,5,Semiárido,1
0.5931,21.44,2.08,35.69,14.2,15,1.982,3,Cerrado,0
0.4303,46.59,95.39,29.46,14.0,17,0.485,2,Mata Atlântica,1
0.7889,14.2,22.11,34.72,15.48,17,0.16,3,Sul,1
0.7856,89.16,170.73,25.02,26.19,19,3.009,1,Sul,2
0.9314,58.25,112.67,31.75,19.2,31,14.327,1,Amazônia,1
0.7862,65.23,82.28,15.73,26.38,8,12.46,2,Sul,1
0.2828,44.88,79.59,37.35,11.0,17,8.299,1,Mata Atlântica,1
0.4944,64.93,114.94,36.52,13.17,36,4.952,1,Cerrado,1
0.4664,77.48,131.86,26.03,33.47,18,9.697,5,Mata Atlântica,2
0.844,62.34,98.88,22.91,20.87,19,3.619,5,Sul,1
0.507,36.31,53.78,22.41,15.98,14,0.993,2,Mata Atlântica,1
0.3422,24.98,35.8,29.97,10.31,66,5.763,4,Cerrado,0
0.5444,59.08,72.35,37.28,40.03,10,12.669,3,Mata Atlântica,1
0.838,44.55,77.77,29.99,5.11,14,0.1,5,Amazônia,1
0.7429,34.46,61.58,38.71,2.48,28,1.448,1,Amazônia,1
0.6054,49.98,99.31,41.52,14.47,22,1.542,1,Amazônia,1
0.804,15.39,42.24,34.14,20.14,12,0.521,4,Amazônia,1
0.6886,28.56,26.37,24.9,6.54,37,1.278,2,Amazônia,0
0.7576,60.01,151.36,29.59,10.49,57,2.422,5,Amazônia,1
0.6068,72.56,137.73,22.19,49.59,0,14.053,4,Mata Atlântica,2
0.7397,81.85,161.67,34.05,22.7,34,9.84,2,Amazônia,1
0.6904,77.49,109.05,38.43,3.47,6,14.594,5,Cerrado,1
0.7588,47.14,113.94,25.82,34.66,16,0.642,3,Sul,2
0.6551,15.78,28.58,37.72,32.79,4,0.142,1,Mata Atlântica,1
0.556,38.32,64.7,38.0,35.54,2,0.582,2,Mata Atlântica,1
0.6357,94.14,188.59,39.02,16.4,4,12.284,2,Amazônia,1
0.6029,82.59,169.38,27.33,15.99,1,0.857,0,Amazônia,2
0.7518,36.76,60.31,39.43,9.58,41,4.251,2,Amazônia,0
0.6324,40.04,88.26,35.08,11.7,29,1.291,1,Amazônia,1
0.6953,35.81,50.5,27.79,21.37,23,0.104,0,Cerrado,1
0.9201,54.53,138.83,41.75,4.12,54,0.442,2,Amazônia,1
0.7519,91.72,180.23,41.0,5.79,9,6.186,6,Amazônia,1
0.6905,38.34,72.92,33.49,12.81,8,1.007,1,Amazônia,1
0.335,69.16,112.27,38.86,30.71,8,1.301,4,Mata Atlântica,2
0.8532,95.0,176.78,27.23,14.36,59,2.368,7,Amazônia,2
0.4979,17.98,23.38,30.32,23.02,70,5.354,3,Cerrado,1
0.6864,81.47,132.75,25.68,43.29,5,3.168,3,Mata Atlântica,2
0.7647,54.42,103.29,32.4,47.36,8,14.467,6,Mata Atlântica,1
0.8232,62.6,132.72,31.92,7.55,40,2.847,6,Amazônia,1
0.2512,33.52,21.03,39.15,4.05,10,1.11,4,Semiárido,0
0.291,79.99,144.82,35.46,17.4,10,3.841,3,Mata Atlântica,1
0.632,51.2,90.55,24.36,9.95,6,2.997,5,Amazônia,1
0.4532,41.45,57.1,28.34,18.51,2,7.736,2,Sul,1
0.5323,24.98,28.12,17.44,39.37,10,13.676,1,Sul,1
0.8586,68.2,129.26,30.2,12.82,41,9.048,2,Amazônia,1
0.3969,70.54,156.53,28.39,2.99,65,2.464,3,Cerrado,1
0.2152,25.27,38.35,39.98,10.95,12,1.217,3,Semiárido,1
0.1077,18.73,8.24,43.24,15.76,18,12.296,4,Semiárido,0
0.6948,57.03,105.62,25.27,17.98,32,2.438,1,Amazônia,1
0.6866,95.0,188.52,30.07,16.13,39,7.353,5,Amazônia,1
0.3472,56.99,96.63,40.09,2.98,69,22.795,0,Cerrado,1
0.7868,53.42,110.99,26.49,39.64,8,4.307,2,Mata Atlântica,1
0.8255,27.77,62.31,35.69,12.54,5,3.268,4,Mata Atlântica,1
0.3001,10.86,4.65,24.84,22.0,51,6.018,4,Cerrado,1
0.7448,73.51,148.96,29.08,10.0,9,1.078,1,Mata Atlântica,1
0.1527,22.96,22.59,42.83,1.06,2,3.349,3,Semiárido,0
0.933,93.69,196.76,40.74,16.09,33,1.872,3,Amazônia,1
0.3934,73.71,150.99,30.56,13.7,67,0.897,5,Cerrado,2
0.277,30.57,26.73,45.09,3.88,1,4.71,0,Semiárido,0
0.6826,53.03,92.07,15.29,37.13,15,4.287,5,Sul,1
0.3429,65.8,135.12,24.82,33.26,0,7.161,5,Mata Atlântica,2
0.4394,53.82,96.09,40.79,45.84,1,10.317,5,Mata Atlântica,1
0.6701,67.14,101.45,28.92,11.23,41,1.245,2,Amazônia,1
0.3254,40.8,62.59,22.9,20.69,5,7.564,6,Cerrado,1
0.4886,85.38,155.41,28.01,23.84,16,2.289,2,Mata Atlântica,2
0.8583,21.81,39.22,28.71,10.36,4,4.955,4,Amazônia,0
0.5156,81.33,138.85,23.85,13.19,79,9.494,0,Cerrado,1
0.4152,35.32,14.91,34.4,12.61,79,1.48,1,Cerrado,1
0.7299,54.62,112.1,28.94,23.02,51,4.593,3,Amazônia,1
0.5814,26.07,56.15,34.58,7.32,15,3.273,0,Cerrado,0
0.8046,95.0,199.47,22.13,1.41,30,7.817,5,Amazônia,1
0.4496,25.67,19.06,41.64,22.91,8,5.974,8,Cerrado,0
0.6941,41.0,69.8,25.41,5.43,43,7.34,4,Amazônia,0
0.2482,38.39,80.99,16.74,28.1,11,1.698,3,Sul,1
0.7794,13.74,10.14,36.32,39.38,10,6.093,3,Mata Atlântica,1
0.751,36.51,47.79,25.43,24.03,10,4.655,2,Mata Atlântica,1
0.2377,19.76,28.63,32.1,13.38,7,3.05,2,Semiárido,0
0.6416,65.45,111.3,25.05,18.07,17,2.377,8,Mata Atlântica,1
0.8206,30.77,25.21,26.94,14.59,14,2.014,3,Amazônia,0
0.7375,58.83,103.2,25.36,20.3,17,0.1,0,Mata Atlântica,2
0.7489,37.0,59.9,35.48,21.33,14,0.929,4,Mata Atlântica,1
0.1557,23.01,14.03,42.48,4.22,6,0.304,4,Semiárido,1
0.618,55.54,115.25,32.76,20.08,13,9.431,1,Cerrado,1
0.8273,34.35,70.38,22.95,21.03,42,9.834,1,Amazônia,1
0.5848,17.95,22.18,39.22,17.27,52,9.36,2,Cerrado,1
0.454,41.47,77.89,25.41,16.43,79,8.517,3,Cerrado,1
0.49,21.66,39.79,29.2,24.65,10,1.251,3,Mata Atlântica,1
0.5671,36.87,26.9,23.44,43.11,13,3.384,5,Mata Atlântica,1
0.6851,80.78,117.49,24.74,18.44,55,11.921,3,Cerrado,2
0.2312,74.91,149.03,19.33,29.32,3,7.131,1,Sul,1
0.7733,26.46,34.59,35.85,26.93,0,0.1,4,Mata Atlântica,1
0.7759,52.01,95.74,35.54,4.85,28,3.076,4,Amazônia,1
0.6197,91.12,158.98,33.04,21.03,43,0.1,6,Amazônia,2
0.7719,95.0,183.52,41.05,17.0,33,1.647,6,Amazônia,1
0.9245,54.35,128.85,32.14,11.27,46,2.861,6,Amazônia,1
0.6369,25.83,26.44,30.99,20.65,59,11.17,6,Amazônia,1
0.8676,64.9,143.78,26.95,17.92,8,5.312,2,Amazônia,1
0.3779,51.47,60.28,23.98,22.84,67,2.251,3,Cerrado,1
0.8293,78.65,143.27,32.96,1.92,47,3.373,7,Amazônia,2
0.3398,87.82,185.7,16.97,34.92,1,8.502,1,Sul,2
0.6558,35.14,59.55,32.48,17.67,16,1.781,4,Amazônia,1
0.318,28.57,45.94,26.12,20.66,3,4.773,6,Mata Atlântica,1
0.5552,75.87,135.67,38.76,8.18,66,1.521,1,Cerrado,1
0.7017,95.0,183.9,31.75,35.55,14,3.269,3,Sul,2
0.8325,37.64,81.02,28.45,19.86,3,0.125,2,Amazônia,1
0.5922,33.79,19.98,38.85,12.34,53,9.562,3,Cerrado,0
0.3223,84.41,135.44,32.44,13.15,10,0.248,4,Sul,2
0.3854,36.04,72.69,31.01,38.09,7,1.27,3,Sul,2
0.1206,12.28,3.73,46.97,5.71,16,2.029,1,Semiárido,0
0.3612,52.83,64.12,37.12,23.08,11,4.906,3,Cerrado,1
0.7084,29.29,20.73,26.58,7.95,31,6.365,0,Amazônia,0
0.6756,46.85,86.99,34.5,39.32,13,0.419,2,Mata Atlântica,2
0.4856,45.77,64.36,22.48,28.4,8,0.222,5,Sul,1
0.3936,72.02,83.69,36.82,41.13,9,8.022,3,Mata Atlântica,1
0.4963,47.86,81.44,26.14,49.18,19,6.227,0,Mata Atlântica,1
0.6745,27.93,50.59,38.97,24.89,20,8.906,1,Cerrado,1
0.094,28.74,38.2,35.84,9.04,2,5.643,3,Semiárido,0
0.8763,95.0,200.74,26.33,3.85,16,6.952,6,Amazônia,1
0.6494,29.97,53.16,32.85,7.86,70,2.382,2,Cerrado,1
0.458,82.43,151.57,39.27,8.18,68,4.46,0,Cerrado,1
0.8208,61.43,135.22,41.34,12.86,18,8.184,2,Mata Atlântica,1
0.7144,21.33,36.64,36.96,12.4,17,0.944,4,Amazônia,1
0.724,51.09,77.05,22.11,19.21,13,2.748,2,Amazônia,1
0.7262,23.47,60.52,24.69,39.14,11,6.745,6,Mata Atlântica,1
0.5709,37.65,44.94,23.53,6.28,36,3.803,9,Cerrado,1
0.5106,42.15,106.13,24.02,28.36,4,5.723,4,Mata Atlântica,1
0.6359,61.78,144.38,29.66,21.19,20,1.733,3,Amazônia,1
0.441,51.59,100.27,28.77,24.45,8,0.164,3,Mata Atlântica,1
0.3198,76.41,141.06,24.27,17.27,3,0.148,6,Mata Atlântica,2
0.7761,40.53,43.85,39.64,19.57,38,14.304,3,Amazônia,1
0.6748,40.06,65.11,34.31,14.88,20,14.46,2,Cerrado,0
0.9006,19.71,25.7,37.93,22.65,56,1.187,0,Amazônia,1
0.8369,42.91,62.21,29.43,15.01,49,0.798,4,Amazônia,1
0.583,35.27,70.91,22.91,9.18,5,0.1,1,Sul,1
0.3508,67.46,123.96,28.35,8.91,65,1.315,0,Cerrado,1
0.081,15.68,33.61,47.82,22.07,9,2.035,4,Semiárido,1
0.4222,49.28,84.97,34.21,3.07,63,1.38,1,Cerrado,1
0.2755,74.45,144.08,31.86,26.63,1,7.982,3,Mata Atlântica,1
0.1006,15.84,27.01,33.89,13.44,9,6.92,1,Semiárido,0
0.3867,29.89,40.86,40.0,39.18,4,0.422,2,Mata Atlântica,1
0.8111,42.95,69.7,31.39,31.63,11,5.975,2,Mata Atlântica,1
0.5231,56.95,82.61,26.79,12.64,73,3.676,4,Cerrado,1
0.4518,5.0,15.48,40.9,6.42,78,0.709,2,Cerrado,1
0.2244,42.1,71.97,29.93,16.19,5,6.726,3,Sul,1
0.1065,9.62,12.54,41.42,16.44,14,0.45,6,Semiárido,1
0.327,26.01,19.91,27.8,13.12,7,0.975,3,Sul,1
0.8516,58.0,92.34,23.52,6.9,11,0.808,1,Amazônia,1
0.0932,20.62,14.42,45.52,15.93,18,13.987,2,Semiárido,0
0.6412,40.7,79.93,22.65,34.21,17,5.989,3,Sul,1
0.6565,32.62,34.18,24.95,9.59,1,2.649,3,Amazônia,0
0.6292,76.62,173.5,30.41,20.31,48,8.636,2,Amazônia,2
0.0924,12.43,35.89,36.53,0.06,10,1.216,3,Semiárido,1
0.6509,5.0,6.12,39.09,14.37,3,13.375,7,Mata Atlântica,0
0.243,13.99,9.36,38.75,15.34,5,5.97,2,Semiárido,0
0.6845,68.07,115.87,29.37,13.35,2,4.1,3,Amazônia,1
0.0793,5.0,28.64,41.66,15.75,7,7.915,6,Semiárido,0
0.6369,65.42,98.65,33.82,4.18,47,5.175,7,Amazônia,0
0.6778,39.89,63.45,24.33,17.12,30,10.907,0,Amazônia,1
0.7817,75.56,171.82,36.86,8.39,42,8.835,5,Amazônia,1
0.1562,18.67,17.29,38.55,11.3,7,1.102,5,Semiárido,1
0.6918,53.06,75.5,32.88,30.03,11,1.37,4,Mata Atlântica,2
0.5968,47.46,71.86,24.99,20.66,16,0.337,4,Mata Atlântica,1
0.3388,43.15,53.58,37.74,15.54,19,1.244,1,Cerrado,1
0.3365,65.52,146.18,15.9,5.83,13,2.104,0,Sul,1
0.5811,39.6,72.41,26.45,12.09,32,0.146,4,Cerrado,1
0.1298,15.21,27.75,35.77,8.08,4,1.891,2,Semiárido,0
0.5516,42.68,41.67,40.45,12.2,67,7.382,6,Cerrado,1
0.3611,30.61,34.1,27.95,17.22,59,9.173,5,Cerrado,1
0.3075,95.0,138.79,40.11,20.41,15,0.1,2,Mata Atlântica,2
0.5709,49.81,95.82,23.07,10.36,27,0.1,6,Cerrado,1
0.2997,6.9,5.93,46.45,14.07,7,0.791,0,Semiárido,1
